Experiment,Source_Domain,Test_Domain,Trial_Number,mAP,Epochs_In_Order,Completed,Number_Epochs_Completed,Is_Rerun,Rerun_Title
Gray_World,SW,NW,1,0.7936948009460638,True,True,300,False,DNE
Gray_World,SW,NW,2,0.7813699797750864,True,True,300,False,DNE
Gray_World,SW,NW,3,0.775280960349326,True,True,300,False,DNE
Gray_World,SW,NW,4,0.805695914251674,True,True,300,False,DNE
Gray_World,SW,SW,0,0.7973392200508499,True,True,300,False,DNE
Gray_World,SW,SW,1,0.7873652044426586,True,True,300,False,DNE
Gray_World,SW,SW,2,0.8174835887963896,True,True,300,False,DNE
Gray_World,SW,SW,3,0.7578754951571266,True,True,300,False,DNE
Gray_World,SW,SW,4,0.7986835830557681,True,True,300,False,DNE
Color_Equalize_Domain,EM,EM,0,0.9736093588519736,True,True,300,False,DNE
Color_Equalize_Domain,EM,EM,1,0.924182306734183,True,True,300,False,DNE
Color_Equalize_Domain,EM,EM,2,0.943921635611566,True,True,300,False,DNE
Color_Equalize_Domain,EM,EM,3,0.9297988077816732,True,True,300,False,DNE
Color_Equalize_Domain,EM,EM,4,0.9429160295222216,True,True,300,False,DNE
Color_Equalize_Domain,EM,NW,0,0.9114068126679716,True,True,300,False,DNE
Color_Equalize_Domain,EM,NW,1,0.8725816301968303,True,True,300,False,DNE
Color_Equalize_Domain,EM,NW,2,0.8487012910571898,True,True,300,False,DNE
Color_Equalize_Domain,EM,NW,3,0.8477889162880097,True,True,300,False,DNE
